Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Single Arm Dumbbell Knee Supported Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Knee Supported,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Overhead Foot Elevated Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Front Rack Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Overhead Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Pullover,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Dumbbell,Bench (Flat),1,Supine,Double Arm,Flat Palm,Above Chest,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Incline Bench Pullover,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Pectoralis Major,Dumbbell,Bench (Incline),1,Seated,Double Arm,Flat Palm,Above Chest,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Overhead Low Switch Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Tire Incline Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Tire,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Double Dumbbell Close Grip Decline Bench Press,,Video Explanation,Beginner,Triceps,Triceps Brachii ,Pectoralis Major,Dumbbell,Bench (Decline),1,Supine,Double Arm,Neutral,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Bodyweight Eccentric Push Up,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Bodyweight,None,0,Prone,Double Arm,Flat Palm,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Double Dumbbell Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Knee Hover Quadruped Fire Hydrant,,,Advanced,Glutes,Gluteus Maximus,Gluteus Medius,Cable,None,0,Knee Hover Quadruped,Double Arm,Flat Palm,Other,Continuous,Hip External Rotation,Isometric Hold,Transverse Plane,Lower Body,Other,Isolation,Unsorted*
Double Dumbbell Incline Bench Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Seated Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Alternating Double Dumbbell Seated Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Incline Bench Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Seated,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Dumbbell Half Kneeling Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Half Kneeling,Single Arm,Neutral,Overhead,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Grinds
Double Dumbbell Windmill,,,Advanced,Abdominals,Obliques,Rectus Abdominis,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Grinds
Alternating Double Dumbbell Incline Bench Hammer Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Seated,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Cyclist Thruster,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,Slant Board,1,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Cyclist Thruster,,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,Slant Board,1,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Kettlebell Goblet Alternating Pistol Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Single Leg Standing,Double Arm,Goblet,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Goblet Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Single Leg Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Kettlebell Horn Grip Alternating Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Single Leg Standing,Double Arm,Horn Grip,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Balance
Single Arm Dumbbell Bent Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Transverse Plane,Full Body,Push,Compound,Grinds
Single Arm Dumbbell Half Kneeling Bent Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Half Kneeling,Single Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Transverse Plane,Full Body,Push,Compound,Grinds
Double Dumbbell Seated Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Cable Straight Bar Tricep Pushdown,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anconeus,Cable,None,0,Standing,Double Arm,Pronated,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Cable Straight Bar Reverse Grip Tricep Pushdown,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,,Cable,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Alternating Double Dumbbell Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Dumbbell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Alternating Double Dumbbell Seated Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,Video Demonstration,Video Explanation,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Dumbbell,None,0,Tall Kneeling,Double Arm,Crush Grip,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Single Arm Dumbbell Overhead Press,Video Demonstration,Video Explanation,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Bench (Flat),1,Seated,Single Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Dumbbell Seated Bicep Curl,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Incline Bench Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Dumbbell,Bench (Incline),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Alternating Double Dumbbell Incline Bench Zottman Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Dumbbell,Bench (Incline),1,Seated,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Alternating Double Dumbbell Seated Overhead Press,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Bench (Flat),1,Seated,Double Arm,Neutral,Overhead,Continuous,Vertical Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Kettlebell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Single Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Alternating Double Kettlebell Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,None,0,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Overhead Alternating Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Crush Grip Seated Overhead Tricep Extension,Video Demonstration,,Beginner,Triceps,Triceps Brachii ,Anterior Deltoids,Dumbbell,Bench (Flat),1,Seated,Double Arm,Crush Grip,Overhead,Continuous,Elbow Extension,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Alternating Double Kettlebell Bent Over Row,Video Demonstration,,Beginner,Back,Latissimus Dorsi,Rhomboids,Kettlebell,None,0,Standing,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Battle Rope Double Wave,Video Demonstration,Video Explanation,Beginner,Biceps,Biceps Brachii,,Battle Ropes,None,0,Standing,Double Arm,Neutral,Other,Continuous,Unsorted*,,Sagittal Plane,Upper Body,Other,Compound,Unsorted*
Double Dumbbell Front Raise,Video Demonstration,,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Dumbbell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Shoulder Flexion,,Sagittal Plane,Upper Body,Push,Isolation,Bodybuilding
Double Dumbbell Incline Bench Prone Lateral Raise,Video Demonstration,,Beginner,Shoulders,Posterior Deltoids,,Dumbbell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Shoulder Abduction,,Frontal Plane,Upper Body,Pull,Isolation,Bodybuilding
Dumbbell Crush Grip Seated Bicep Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Flat),1,Seated,Double Arm,Crush Grip,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Dumbbell Incline Bench Prone Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Dumbbell Overhead Low Switch Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Single Arm,Neutral,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Dumbbell Goblet Foot Elevated Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Clubbell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Clubbell,None,0,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Clubbell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Clubbell,None,0,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Macebell Order Ipsilateral Cossack Squat,,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,None,0,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Macebell Order Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Macebell,None,0,Standing,Single Arm,Neutral,Order,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dummbell Front Rack Foot Elevated Contralateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Cossack Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Dumbbell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Incline Bench Prone Hammer Curl,Video Demonstration,,Beginner,Biceps,Biceps Brachii,Brachialis,Dumbbell,Bench (Incline),1,Prone,Double Arm,Neutral,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Single Arm Dumbbell Incline Bench Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Incline),1,Supine,Single Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Decline Bench Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,Bench (Decline),1,Supine,Single Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Copenhagen Plank,Video Demonstration,Video Explanation,Intermediate,Adductors,Adductor Magnus,,Kettlebell,Bench (Flat),1,Side Plank,Single Arm,Bottoms Up,Other,Continuous,Hip Adduction,,Frontal Plane,Lower Body,Other,Compound,Unsorted*
Double Dumbbell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,None,0,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Glute Bridge Isometric Bench Press,,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Flat),1,Bridge,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,Isometric Hold,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Alternating Double Dumbbell Floor Press,Video Demonstration,,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,None,0,Supine,Double Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Kettlebell Seated Single Leg Tibialis Raise,Video Demonstration,,Novice,Shins,Tibialis Anterior,Extensor Digitorum Longus,Kettlebell,Bench (Flat),1,Seated,No Arms,No Grip,Other,Continuous,Ankle Dorsiflexion,,Sagittal Plane,Lower Body,Unsorted*,Isolation,Unsorted*
Double Kettlebell Seated Calf Raise,,Video Explanation,Beginner,Calves,Soleus,Gastrocnemius,Kettlebell,Bench (Flat),1,Seated,Double Arm,Neutral,Other,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Double Kettlebell Seated Feet Elevated Calf Raise,Video Demonstration,Video Explanation,Beginner,Calves,Soleus,Gastrocnemius,Kettlebell,Bench (Flat),1,Seated,Double Arm,Neutral,Other,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Alternating Double Dumbbell Thruster,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Anterior Deltoids,Dumbbell,None,0,Standing,Double Arm,Neutral,Overhead,Continuous,Knee Dominant,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Single Arm Dumbbell Floor Press,Video Demonstration,Video Explanation,Beginner,Chest,Pectoralis Major,Triceps Brachii,Dumbbell,None,0,Supine,Single Arm,Pronated,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Macebell Inside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Macebell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Knee Dominant,,Transverse Plane,Full Body,Other,Compound,Ballistics
Single Arm Macebell Outside Circle,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Macebell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Knee Dominant,,Transverse Plane,Full Body,Other,Compound,Ballistics
